state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_zero_position,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
736.348,7.118688989000475,-0.355224609,1.528808594,-0.126220703,97.61832061,16.79389313,366.7175573,-26578,-352,-600,0,-0.06640625,23.03237736,-1.3142077909582457,False,0.22485701604381028,False,,,,,34
736.358,7.120689643999867,-0.284912109,1.563720703,-0.100830078,99.60305344,13.49618321,360.0,-26772,-440,-330,0,0.065429688,22.54268808,-0.7225868268127923,False,0.23537297035712118,False,,,,,34
736.368,7.122690874,-0.197753906,1.637451172,-0.099609375,96.27480916,11.17557252,341.648855,-26964,-414,-270,0,0.131347656,19.612192,-0.591113150933929,False,0.24762480931560418,False,,,,,34
736.378,7.124692176999815,-0.226318359,1.753662109,-0.115234375,86.29007634,9.465648855,324.7022901,-27140,-365,-154,0,0.175292969,14.68669112,-0.33711728310417743,False,0.2581982726389597,False,,,,,34
736.388,7.126693852000244,-0.231933594,1.946044922,-0.115966797,66.6259542,12.24427481,299.1755725,-27257,-181,50,0,0.219238281,9.95633757,0.10944184993015608,False,0.2693460950160238,False,,,,,34
736.398,7.1286956740004825,-0.196533203,2.005859375,-0.063232422,57.95419847,18.04580153,278.259542,-27293,-45,-17,0,0.28515625,6.668033681,-0.037204154523754404,False,0.2807918557727742,False,,,,,34
736.408,7.130697106999833,-0.192626953,1.907226563,0.039794922,55.96946565,33.49618321,235.5419847,-27299,-11,-210,0,0.373046875,5.553518197,-0.459479550294338,False,0.2919342208045307,False,,,,,34
736.418,7.132698892000008,-0.329589844,1.715087891,0.086425781,54.77862595,43.66412214,199.0534351,-27320,-68,-360,0,0.482910156,6.241735074,-0.7874593339228609,False,0.30349111766376524,False,,,,,34
736.428,7.13470001099995,-0.561279297,1.419433594,0.045654297,51.75572519,50.80916031,131.5114504,-27384,-191,-311,0,0.4609375,6.537777403,-0.6803155960629813,False,0.3147783092871837,False,,,,,34
736.438,7.136701258999892,-0.605712891,1.294433594,0.035644531,48.70229008,54.83969466,77.03816794,-27493,-240,-55,0,0.4609375,4.444434738,-0.12031304753525394,False,0.3259979102518146,False,,,,,34
736.448,7.13870296999994,-0.479003906,1.216064453,0.095703125,40.85496183,64.24427481,-15.78625954,-27544,-41,278,0,0.438964844,2.690603401,0.6081618340982621,False,0.3373286529884758,False,,,,,34
736.458,7.140705051000623,-0.434082031,1.200927734,0.186767578,30.19847328,75.29770992,-76.09160305,-27532,9,73,0,0.241210938,-0.954627007,0.15977643440078246,False,0.34864480879734827,False,,,,,34
